Item,Category,Due Date,Status,Priority,Assigned To,Notes
Form ADV Annual Update,SEC Filing,2026-03-31,Pending,High,Brandon C.,Annual amendment due within 90 days of fiscal year end
Form PF Quarterly Filing,SEC Filing,2026-02-15,Complete,High,Brandon C.,Q4 2025 filing completed
Anti-Money Laundering Review,AML/KYC,2026-04-30,Pending,Medium,Compliance Team,Annual AML program review
Code of Ethics Annual Cert,Internal,2026-01-31,Complete,Medium,All Employees,Annual acknowledgment completed
Form D Filing â Fund III,SEC Filing,2026-02-28,In Progress,High,Brandon C.,New fund offering â Reg D exemption
Custody Rule Audit,Audit,2026-03-15,Pending,High,External Auditor,Annual surprise custody examination
Business Continuity Plan Update,Internal,2026-06-30,Complete,Low,Operations,Annual BCP review and testing
Cybersecurity Risk Assessment,IT/Security,2026-05-31,Complete,Medium,IT Team,Annual cyber risk review per SEC guidance
Blue Sky State Filings,State Filing,2026-01-15,Overdue,High,Brandon C.,State notice filings â renewals overdue
Investor Quarterly Report,Reporting,2026-04-15,Complete,Medium,IR Team,Q4 2025 investor communications
Personal Trading Pre-Clearance Audit,Internal,2026-03-31,Complete,Low,Compliance Team,Quarterly review of personal trading
Privacy Policy Annual Review,Regulatory,2026-07-31,Complete,Low,Legal,Reg S-P privacy notice review
